RegionName,Date,HomePrice
Los Angeles County,2000-01-31,211518.8393764984
San Diego County,2000-01-31,216360.0150463341
Orange County,2000-01-31,259417.6362981953
Riverside County,2000-01-31,153760.4958955673
San Bernardino County,2000-01-31,128198.2955191986
Santa Clara County,2000-01-31,399324.5389917985
Alameda County,2000-01-31,272524.64674227586
Sacramento County,2000-01-31,147439.41886496698
Contra Costa County,2000-01-31,280997.8643392894
Fresno County,2000-01-31,110925.25272358744
Kern County,2000-01-31,98202.98791642764
San Francisco County,2000-01-31,389279.0619591701
Ventura County,2000-01-31,261481.46107334396
San Joaquin County,2000-01-31,160870.6843315207
San Mateo County,2000-01-31,423865.513941952
Stanislaus County,2000-01-31,148488.02570165048
Sonoma County,2000-01-31,249450.8126133761
Tulare County,2000-01-31,102954.53496214536
Solano County,2000-01-31,196173.5344049684
Santa Barbara County,2000-01-31,242224.8495988035
Monterey County,2000-01-31,245866.59808942603
Placer County,2000-01-31,236600.01235052684
San Luis Obispo County,2000-01-31,198913.01961704704
Merced County,2000-01-31,
Santa Cruz County,2000-01-31,282523.0887744109
Marin County,2000-01-31,439802.3641940233
Butte County,2000-01-31,
Yolo County,2000-01-31,174699.52978412603
El Dorado County,2000-01-31,210453.2216141873
Shasta County,2000-01-31,104653.36693350616
Imperial County,2000-01-31,
Madera County,2000-01-31,
Kings County,2000-01-31,
Napa County,2000-01-31,234264.8690102905
Humboldt County,2000-01-31,
Nevada County,2000-01-31,
Sutter County,2000-01-31,
Mendocino County,2000-01-31,
Yuba County,2000-01-31,
Lake County,2000-01-31,
Tehama County,2000-01-31,
San Benito County,2000-01-31,
Tuolumne County,2000-01-31,
Calaveras County,2000-01-31,
Siskiyou County,2000-01-31,
Amador County,2000-01-31,
Lassen County,2000-01-31,
Glenn County,2000-01-31,
Del Norte County,2000-01-31,
Colusa County,2000-01-31,
Plumas County,2000-01-31,
Inyo County,2000-01-31,
Mariposa County,2000-01-31,
Trinity County,2000-01-31,
Mono County,2000-01-31,
Modoc County,2000-01-31,
Sierra County,2000-01-31,
Alpine County,2000-01-31,
Los Angeles County,2000-02-29,211745.345712649
San Diego County,2000-02-29,217210.3108362585
Orange County,2000-02-29,261699.8170027042
Riverside County,2000-02-29,154108.99016786664
San Bernardino County,2000-02-29,128935.54878873334
Santa Clara County,2000-02-29,401259.9044787707
Alameda County,2000-02-29,273497.7567457224
Sacramento County,2000-02-29,147870.5925007673
Contra Costa County,2000-02-29,281615.70352366485
Fresno County,2000-02-29,111005.51091161383
Kern County,2000-02-29,98186.01980266832
San Francisco County,2000-02-29,391261.347140646
Ventura County,2000-02-29,262188.235271478
San Joaquin County,2000-02-29,160089.05678917555
San Mateo County,2000-02-29,425879.110258736
Stanislaus County,2000-02-29,148738.6998409905
Sonoma County,2000-02-29,252636.57841876213
Tulare County,2000-02-29,102853.80412663372
Solano County,2000-02-29,196614.6815385701
Santa Barbara County,2000-02-29,242865.91980686184
Monterey County,2000-02-29,246627.1151347673
Placer County,2000-02-29,237265.08674463187
San Luis Obispo County,2000-02-29,199433.00782383344
Merced County,2000-02-29,
Santa Cruz County,2000-02-29,283503.6178012893
Marin County,2000-02-29,441752.2571232616
Butte County,2000-02-29,
Yolo County,2000-02-29,174967.46782224544
El Dorado County,2000-02-29,210788.12510017425
Shasta County,2000-02-29,104553.10983020304
Imperial County,2000-02-29,
Madera County,2000-02-29,
Kings County,2000-02-29,
Napa County,2000-02-29,235015.91737533727
Humboldt County,2000-02-29,
Nevada County,2000-02-29,
Sutter County,2000-02-29,
Mendocino County,2000-02-29,
Yuba County,2000-02-29,
Lake County,2000-02-29,
Tehama County,2000-02-29,
San Benito County,2000-02-29,
Tuolumne County,2000-02-29,
Calaveras County,2000-02-29,
Siskiyou County,2000-02-29,
Amador County,2000-02-29,
Lassen County,2000-02-29,
Glenn County,2000-02-29,
Del Norte County,2000-02-29,
Colusa County,2000-02-29,
Plumas County,2000-02-29,
Inyo County,2000-02-29,
